,Unnamed: 0,C_Neigh,N_Neigh,Neigh_Lat,Neigh_Long,Venue,Venue_Lat,Venue_Long,Venue_Category
214,214,03,La Barceloneta,41.37905,2.191261,Can Majó,41.3775248264719,2.1909221226972835,Paella Restaurant
215,215,03,La Barceloneta,41.37905,2.191261,Onda Hair & Beauty Salon,41.37962508572007,2.189593425902352,Salon / Barbershop
216,216,03,La Barceloneta,41.37905,2.191261,acqua& farina,41.381105,2.190029,Pizza Place
217,217,03,La Barceloneta,41.37905,2.191261,el bar del Basko,41.379453000000005,2.1905419999999998,Tapas Restaurant
218,218,03,La Barceloneta,41.37905,2.191261,Cal Papi,41.37921948515008,2.19003368638829,Mediterranean Restaurant
219,219,03,La Barceloneta,41.37905,2.191261,Passeig Marítim de la Barceloneta,41.38012536536615,2.1928238868713383,Beach
220,220,03,La Barceloneta,41.37905,2.191261,La Deliciosa Barceloneta,41.377680691578156,2.1916884491629016,Beach Bar
221,221,03,La Barceloneta,41.37905,2.191261,Paco Alcalde,41.377302756999995,2.189738125,Paella Restaurant
222,222,03,La Barceloneta,41.37905,2.191261,Barraca,41.3790722864595,2.1919951022155177,Paella Restaurant
223,223,03,La Barceloneta,41.37905,2.191261,Woki Playa,41.379059634660244,2.192119624868215,Fish & Chips Shop
224,224,03,La Barceloneta,41.37905,2.191261,Can Ros,41.377323830372134,2.1893700330650034,Paella Restaurant
225,225,03,La Barceloneta,41.37905,2.191261,Restaurante Salamanca,41.378482719259594,2.1914081732999624,Paella Restaurant
226,226,03,La Barceloneta,41.37905,2.191261,Can Solé,41.378899419193175,2.1883746251428198,Spanish Restaurant
227,227,03,La Barceloneta,41.37905,2.191261,Rumbanroll,41.380596950092524,2.1878065054525377,Mediterranean Restaurant
